Wavelength (nm);[buf]-005-1-1chaps;[buf]-005-1-1chaps1;[buf]-5-1-1;[buf]-5-1-2; [buf]-10.1; [buf]-10.1 1; [buf]-10.2; [buf]-10.2 1; [buf]-10.2 2; [buf]-Buf; [buf]-10.11;A [H20}-buf;A [buf}-buf;A [buf}-buf 1;A [buf}-10.21;A [buf}-10.22;A [buf}-10.23;A [Buf]-9.1;A [Buf]-9.2;A [Buf]-9.3;A [Buf];A [Buf]-1.11;A [Buf]-1.12;A [Buf]-1.13;A [Buf]-1.13 1;A [Buf]-Buf;A [Buf]-2.11;A [Buf]-2.12;A [Buf]-2.13
821;1,547;2,882;-0,267;0,700;-1,737;-0,369;-1,719;-1,720;-1,803;1,703;9,218;-0,047;-0,029;0,036;0,033;-0,001;-0,033;-0,076;0,001;-0,040;-0,037;0,047;0,003;0,030;-0,032;-0,067;-0,027;-0,045;-0,078
822;1,506;2,799;-0,278;0,641;-1,796;-0,408;-1,753;-1,737;-1,857;1,734;9,029;-0,049;-0,054;0,010;-0,023;-0,041;-0,086;-0,095;-0,010;-0,013;-0,067;-0,002;-0,037;-0,031;-0,037;-0,073;-0,032;-0,051;-0,078
823;1,457;2,768;-0,301;0,645;-1,788;-0,383;-1,758;-1,729;-1,856;1,741;8,951;-0,040;-0,035;-0,014;-0,082;-0,088;-0,149;-0,072;-0,010;-0,007;-0,049;-0,014;-0,051;-0,070;-0,006;-0,046;-0,052;-0,043;-0,071
824;1,491;2,837;-0,311;0,640;-1,747;-0,339;-1,707;-1,670;-1,770;1,763;8,953;-0,005;0,010;0,000;-0,059;-0,073;-0,083;-0,052;0,004;0,015;-0,012;0,003;-0,024;-0,068;0,024;-0,020;-0,048;-0,030;-0,059
825;1,554;2,930;-0,288;0,682;-1,705;-0,288;-1,640;-1,586;-1,684;1,767;9,000;0,000;0,032;0,010;-0,018;-0,013;-0,020;-0,044;0,030;0,043;0,003;0,034;0,017;-0,029;0,007;-0,005;-0,044;-0,019;-0,044
826;1,550;2,934;-0,279;0,699;-1,688;-0,272;-1,629;-1,583;-1,675;1,786;9,016;-0,019;-0,004;0,007;-0,033;-0,010;-0,040;-0,036;0,042;0,059;-0,016;0,058;0,020;-0,019;-0,001;-0,016;-0,054;-0,054;-0,052
827;1,511;2,888;-0,284;0,719;-1,718;-0,295;-1,690;-1,637;-1,734;1,788;9,020;-0,019;-0,027;0,016;-0,061;-0,005;-0,049;-0,021;0,034;0,032;-0,034;0,066;0,027;0,000;-0,007;-0,023;-0,065;-0,063;-0,063
828;1,492;2,847;-0,306;0,712;-1,732;-0,307;-1,713;-1,660;-1,756;1,815;8,989;-0,009;-0,029;0,001;-0,081;-0,015;-0,040;-0,040;0,031;0,007;-0,029;0,057;0,034;0,012;-0,012;-0,009;-0,047;-0,032;-0,063
829;1,514;2,867;-0,330;0,743;-1,718;-0,299;-1,701;-1,656;-1,753;1,840;9,042;0,009;0,029;0,030;-0,045;-0,009;-0,012;-0,034;0,015;-0,018;-0,020;0,041;0,030;0,005;-0,006;-0,009;-0,021;-0,023;-0,050
830;1,532;2,937;-0,330;0,743;-1,707;-0,272;-1,664;-1,631;-1,703;1,853;9,130;0,008;0,045;0,046;-0,032;0,037;-0,009;0,010;0,065;0,034;0,007;0,041;0,024;0,013;0,012;-0,022;0,001;-0,022;-0,025
831;1,511;2,942;-0,336;0,733;-1,674;-0,211;-1,623;-1,599;-1,694;1,806;9,233;-0,027;0,028;0,058;0,016;0,093;-0,017;0,041;0,128;0,077;0,046;0,052;0,035;0,056;0,031;-0,034;-0,023;-0,038;-0,050
832;1,487;2,936;-0,338;0,714;-1,687;-0,226;-1,649;-1,621;-1,724;1,719;9,321;-0,040;-0,017;0,081;0,065;0,117;0,009;0,060;0,130;0,088;0,051;0,048;0,041;0,049;0,045;-0,035;-0,046;-0,045;-0,063
833;1,457;2,886;-0,335;0,718;-1,693;-0,215;-1,649;-1,638;-1,722;1,700;9,256;-0,061;-0,046;0,062;0,052;0,058;-0,006;-0,009;0,111;0,061;0,042;0,036;0,013;-0,021;0,043;-0,022;-0,020;-0,033;-0,084
834;1,481;2,856;-0,302;0,685;-1,721;-0,232;-1,658;-1,661;-1,736;1,754;9,025;-0,047;-0,064;0,052;0,022;0,028;-0,035;-0,030;0,090;0,043;-0,001;-0,004;-0,025;-0,091;0,035;-0,035;0,001;-0,017;-0,052
835;1,556;2,874;-0,342;0,660;-1,766;-0,221;-1,692;-1,655;-1,760;1,806;8,985;-0,037;-0,036;0,025;-0,010;-0,013;-0,046;-0,017;0,068;0,033;0,013;0,005;-0,021;-0,055;0,032;-0,015;0,029;-0,015;-0,042
836;1,609;2,952;-0,334;0,642;-1,784;-0,207;-1,737;-1,692;-1,784;1,831;9,075;0,001;-0,004;0,029;-0,007;0,001;-0,028;0,003;0,058;0,035;0,031;0,001;0,004;-0,006;0,031;0,011;0,049;-0,010;-0,012
837;1,601;2,943;-0,294;0,647;-1,805;-0,249;-1,758;-1,717;-1,835;1,822;9,259;0,000;-0,030;0,076;0,028;0,045;0,013;0,041;0,037;0,055;0,016;-0,012;0,014;-0,033;0,004;0,055;0,072;-0,024;-0,023
